,会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの,color
663,102420,道の駅「恐竜渓谷かつやま」 エリア,2,1981,41,40代,京都府,京都市西京区,600万円以上 700万円未満,mobile/iphone,2022-05-04 22:26:12,5月,道の駅「恐竜渓谷かつやま」 エリア,20.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),2泊,2泊,奥越前エリア（勝山市・大野市）,福井県外には宿泊しない,小学生以下連れの家族,"友人・親戚を尋ねる
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"インターネット・アプリ
Instagram
友人・知人
",0,0,0,0,0,1,0,1,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,綺麗、広い、滑り台も良かった。,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,選択なし/該当施設なし,ラブリー牧場、牧場見学,福井県立恐竜博物館,,"3,000円以上 5,000円未満",4,"もう少しイベントやお店があれば楽しい。
外は暑過ぎて長く居れない。色んな場所に座る所があれば助かる。",感じなかった,,5,お土産の種類も揃っていて楽しい。,"子供がいると早くレジに行こうと言うのでゆっくり買い物が出来ないので、子供向きのお土産コーナーがもう少しあれば助かる。

入り口付近だと子供の姿が見えなくなるとそれも心配なのでゆっくり買い物出来ない。",また行きたい（1年以内）,子供を連れて気軽に遊びに行ける、なるべく料金も低価格で自然な場所があったら嬉しい。,blue
665,102446,うみんぴあ大飯 エリア,2,1966,56,50代,京都府,舞鶴市,300万円以上 400万円未満,mobile/iphone,2022-05-04 22:19:01,5月,うみんぴあ大飯 エリア,64.うみんぴあ大飯 エリア,おおい町,嶺南西部,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"地元の美味しいものを食べる
買い物、アウトレット
",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Instagram
友人・知人
",0,0,0,0,0,0,0,1,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,使わない,"5,000円以上 10,000円未満",11回目以上,選択なし/該当施設なし,ブルーライトヨコヤマ,舞鶴（京都府）,,"3,000円以上 5,000円未満",5,"景色がよく
野菜やらいろいろ見れて楽しいです",感じなかった,,8,景色がキレイ,"もっと沢山いろんな野菜やら果物を置いて欲しいです
お弁当があり　夕食に買えて良かったです",また行きたい（1年以内）,,blue
666,102445,うみんぴあ大飯 エリア,2,1975,47,40代,大阪府,三島郡,分からない/無回答,mobile/android,2022-05-04 22:11:30,5月,うみんぴあ大飯 エリア,64.うみんぴあ大飯 エリア,おおい町,嶺南西部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,小学生以下連れの家族,"地元の美味しいものを食べる
各種体験（手作り、果物狩りなど）
",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"20,000円以上 30,000円未満","1,000円以上 3,000円未満","5,000円以上 10,000円未満",11回目以上,選択なし/該当施設なし,,ホテルうみんぴあ,,"20,000円以上 30,000円未満",5,施設も充実していて、入場料も無料や安い設定で、子供も大人も楽しめました。食事も美味しかったです。,感じなかった,,10,子供達が喜ぶ施設が多く、その施設も充実していて綺麗で、費用も安い。,"昼食の時間の食事スペースが混みあうので、
新しい施設でもレストランが出来ることを期待しています。",また行きたい（1年以内）,越前そば、かに、ソースカツ丼、三方五湖周辺の鰻など、美味しいものが多いので、福井を訪ねた時には食べるのを楽しみにしています。,blue
667,102444,web,2,1972,50,50代,福井県,坂井市,分からない/無回答,mobile/android,2022-05-04 21:55:34,5月,道の駅「恐竜渓谷かつやま」 エリア,20.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,4泊以上,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,親,"まちあるき、都市散策
ドライブ・ツーリング
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,選択肢なし,,"3,000円以上 5,000円未満","1,000円未満","1,000円以上 3,000円未満",初めて,選択なし/該当施設なし,,越前大仏,,"1,000円以上 3,000円未満",5,ゆっくり過ごせたから,感じなかった,,10,恐竜もあって、人もそれほど混んでなくてゆっくり過ごせたこと,,福井県在住,,blue
668,102441,うみんぴあ大飯 エリア,2,1974,48,40代,福井県,大飯郡,600万円以上 700万円未満,mobile/iphone,2022-05-04 21:41:22,5月,うみんぴあ大飯 エリア,64.うみんぴあ大飯 エリア,おおい町,嶺南西部,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,中学生以上連れの家族,"買い物、アウトレット
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
インターネット・アプリ
",0,0,0,1,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",11回目以上,道の駅「うみんぴあ大飯」,,道の駅「シーサイド高浜」,,"5,000円以上 10,000円未満",4,,感じなかった,,10,,バーベキューエリアやドッグランなどの施設、設備があれば良いなあと感じた。,また行きたい（1年以内）,,blue
669,102438,熊川宿 エリア,2,1962,60,60代,京都府,宇治市,200万円以上 300万円未満,mobile/android,2022-05-04 21:36:22,5月,熊川宿 エリア,62.熊川宿 エリア,若狭町,嶺南東部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,その他家族,"温泉や露天風呂
地元の美味しいものを食べる
買い物、アウトレット
",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"20,000円以上 30,000円未満","1,000円以上 3,000円未満","20,000円以上 30,000円未満",初めて,選択なし/該当施設なし,朽木の牧場,道の駅「若狭おばま」,,"3,000円以上 5,000円未満",4,,感じなかった,,5,,,機会があれば行きたい,新しい温泉宿、日帰り温泉、大きな海鮮市場、若狭牛のテーマパーク、,blue
671,102428,web,1,1972,50,50代,石川県,白山市,500万円以上 600万円未満,mobile/android,2022-05-04 21:10:40,5月,道の駅「パークイン丹生ヶ丘」 エリア,39.道の駅「パークイン丹生ヶ丘」 エリア,越前町,丹南,,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"温泉や露天風呂
花見や紅葉などの自然鑑賞
",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","3,000円以上 5,000円未満",11回目以上,西山動物園,,越前海岸,,"1,000円以上 3,000円未満",4,食事が美味しかった。,感じなかった,,8,自然が美味しかった。,,また行きたい（1年以内）,,blue
675,101370,web,1,1963,59,50代,福井県,福井市,"1,000万円以上 1,200万円未満",mobile/android,2022-05-04 20:55:55,5月,道の駅みくに ふれあいパーク三里浜 エリア,10.道の駅みくに ふれあいパーク三里浜 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"花見や紅葉などの自然鑑賞
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Facebook
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"1,000円以上 3,000円未満",使わない,"1,000円以上 3,000円未満",6～10回目,選択なし/該当施設なし,くにみクラゲ公民館,選択なし/該当施設なし,福井市美術館,"1,000円以上 3,000円未満",4,商品の種類が豊富,感じなかった,,9,クラゲ公民館は地元の方の熱意が伝わってきた。さらなる発展に期待,この土地ならではのメニューを充実した飲食コーナーを望む,福井県在住,,blue
676,102247,道の駅「西山公園」 エリア,2,1972,50,50代,福井県,福井市,"1,200万円以上 1,500万円未満",mobile/iphone,2022-05-04 20:54:02,5月,かずら橋 エリア,37.かずら橋 エリア,池田町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,その他家族,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,のどか,"5,000円以上 10,000円未満","1,000円以上 3,000円未満","3,000円以上 5,000円未満",11回目以上,越前そばの里,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",3,渓流温泉のお湯はとても良い。,感じた,この辺りの中高年女性の気性と方言なのでしょうか？接客業なのに気が短い方があちこち大勢いらっしゃるようです。せっかくのいいお湯なのに、、、若い世代の人にはズレを感じた様です。,5,,,また行きたい（1年以内）,,yellow
677,102429,web,2,1977,45,40代,石川県,白山市,"900万円以上 1,000万円未満",mobile/android,2022-05-04 20:51:56,5月,道の駅「パークイン丹生ヶ丘」 エリア,39.道の駅「パークイン丹生ヶ丘」 エリア,越前町,丹南,,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
温泉や露天風呂
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,泰澄のもり,"3,000円以上 5,000円未満",4,リニューアルされていて快適になっていた,感じなかった,,3,,泰澄のもりの温泉割引券が無くなっていて残念です,また行きたい（1年以内）,,blue
678,101433,web,1,1971,51,50代,福井県,福井市,"1,200万円以上 1,500万円未満",mobile/iphone,2022-05-04 20:44:22,5月,福井駅前 エリア,04.福井駅前 エリア,福井市,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"出張など仕事関係
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,"徒歩
",0,0,1,0,,,使わない,使わない,"1,000円未満",2～5回目,選択なし/該当施設なし,,福井駅,,"1,000円未満",4,県内のいろいろな物産を買うことができるから,感じなかった,,7,越前焼の物品にも多様なものがあり、その人に合う何かがありそうだから,観光において飲食は重要な要素で、福井駅はその拠点なので、伝統的なものだけでなく、今風のものも含めて幅広く紹介・提供されると現地で本物を味わいたくなるような気がする,福井県在住,いずれもより深く味わえるような歴史やストーリー、体験などを更に充実させてほしい。何泊でも滞在したいと思わせるくらい,blue
679,102422,UMIKARA エリア,2,1967,55,50代,福井県,敦賀市,600万円以上 700万円未満,mobile/android,2022-05-04 20:39:51,5月,UMIKARA エリア,70.UMIKARA エリア,高浜町,嶺南西部,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,中学生以上連れの家族,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
Twitter
",0,1,0,0,0,0,1,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","1,000円以上 3,000円未満",初めて,選択なし/該当施設なし,,道の駅「若狭おばま」,,"1,000円以上 3,000円未満",4,,感じた,食事をした際に、オーダーしたメニューの出来上がりに時間差がありすぎた(一番遅いものでチケット購入から30分後),7,マーケットの品ぞろえ,もうすこし食事メニューの種類が多いといいなと思いました,福井県在住,,blue
680,102404,あわら温泉 エリア,2,1991,31,30代,東京都,葛飾区,700万円以上 800万円未満,mobile/android,2022-05-04 20:38:26,5月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,その他家族,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"レンタカー
飛行機
",0,1,0,0,1,0,0,"レンタカー
",0,0,0,0,とても満足,,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",5,,感じた,温泉街で見るところが無かった,8,,,また行きたい（1年以内）,,blue
681,100144,道の駅「若狭熊川宿」・八百熊川,2,1970,52,50代,福井県,越前市,200万円以上 300万円未満,mobile/iphone,2022-05-04 20:36:19,5月,越前陶芸村 エリア,41.越前陶芸村 エリア,越前町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,恋人,"お祭りやイベントへの参加・見物
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"TV・ラジオ番組やCM
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,,"1,000円未満",使わない,"1,000円以上 3,000円未満",2～5回目,道の駅「越前」,,選択なし/該当施設なし,,"1,000円未満",4,"ぶらりと焼きものをみに

桜の季節にくると、とても綺麗",感じなかった,,5,,"以前、月明かり？の焼き物を作りました。
一つは自分用、もう一つは、会場展示用に。
とてもいい感じにできました。

ただ、その月明かりを一斉に点火するのをみるのに、入場料がかかるのですが、作成した人は、無料でみれるか、せめて割引とかしてほしかった。",福井県在住,"福井の倍返しキャンペーンで
越前焼、越前包丁、越前漆器をみる機会ぎ増えた
このキャンペーンで、高くて手に取れないものだったものが身近に感じることができて、とてもありがたいキャンペーンでした！
またやってほしいです",blue
682,102423,レインボーライン エリア,1,1994,28,20代,愛知県,名古屋市守山区,400万円以上 500万円未満,mobile/iphone,2022-05-04 20:34:31,5月,レインボーライン エリア,59.レインボーライン エリア,美浜町,嶺南東部,三方五湖DMO(株),1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,恋人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"3,000円以上 5,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,敦賀赤レンガ倉庫,,日本海さかな街,,"1,000円未満",4,雨で寒かった,感じなかった,,5,,雨が降った時用のなにかしら,また行きたい（1年以内）,,blue
684,102297,六呂師高原 エリア,2,1976,46,40代,福井県,福井市,600万円以上 700万円未満,mobile/iphone,2022-05-04 20:31:50,5月,六呂師高原 エリア,18.六呂師高原 エリア,大野市,勝山市・大野市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,中学生以上連れの家族,"ドライブ・ツーリング
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,,白山ワイナリー,,"1,000円以上 3,000円未満",5,"乳牛を見たあとのソフトクリームが親近感がわいてとてもおいしかった。
高原だけあって開けた景色はとてもキレイでリフレッシュできた。",感じなかった,,9,散策にちょうどいい距離で景色がよくて疲れたらソフトクリームを食べて&hellip;、2、3時間で子連れにもカップルにも満足度が高いと感じたから。,,福井県在住,,blue
685,102178,レインボーライン エリア,1,1961,61,60代,福井県,福井市,分からない/無回答,mobile/iphone,2022-05-04 20:24:43,5月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,満足,ロータリーに戸惑ったが、合理的でいい,使わない,"3,000円以上 5,000円未満","5,000円以上 10,000円未満",初めて,道の駅「恐竜渓谷かつやま」,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",4,バームクーヘン、蕎麦が売り切れ,感じた,通路に汚物があって、みんな避けていた,5,インターチェンジが出来てからが良いよと勧める,欲しいものは在庫なし、どこでもあるものは山ほどあって邪魔。メダカはアピールが下手,福井県在住,,blue
686,102297,六呂師高原 エリア,2,1976,46,40代,福井県,福井市,600万円以上 700万円未満,mobile/iphone,2022-05-04 20:24:26,5月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,中学生以上連れの家族,"花見や紅葉などの自然鑑賞
買い物、アウトレット
まちあるき、都市散策
ドライブ・ツーリング
",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","5,000円以上 10,000円未満",初めて,白山ワイナリー,六呂師高原,選択なし/該当施設なし,,"1,000円未満",4,"時期がGWだったので混んだいて大野の特産品が売り切れていたしゆっくり見れなかった。
施設自体はキレイで真新しい特産品も多くあったので次回ゆっくり再訪したい。",感じなかった,,7,お土産品の種類が多く、知らない大野の美味しそうなお菓子（丸ごとトマトが入った焼き菓子？）や山菜、惣菜が売っていて楽しかった。,GWといった混雑する時期は入り口前にもう少しキッチンカーや屋台があったらよかった、かな？,福井県在住,,blue
687,102178,レインボーライン エリア,1,1961,61,60代,福井県,福井市,分からない/無回答,mobile/iphone,2022-05-04 20:15:06,5月,道の駅「恐竜渓谷かつやま」 エリア,20.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"3,000円以上 5,000円未満","5,000円以上 10,000円未満",初めて,道の駅「禅の里」,,道の駅「越前おおの荒島の郷」,,"1,000円以上 3,000円未満",5,新しくて、綺麗。子供たちが遊べるスペースがあって、また来たいと思います。,感じなかった,,10,子どもたちがたのしどう,,福井県在住,,blue
688,102178,レインボーライン エリア,1,1961,61,60代,福井県,福井市,分からない/無回答,mobile/iphone,2022-05-04 20:07:23,5月,道の駅「禅の里」 エリア,26.道の駅「禅の里」 エリア,永平寺町,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"3,000円以上 5,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",4,ラーメンが美味しい,感じなかった,,8,足湯、温泉がとてもいい,そばが売り切れて残念,福井県在住,,blue
689,102400,web,2,1985,37,30代,福井県,福井市,分からない/無回答,mobile/iphone,2022-05-04 19:56:32,5月,永平寺門前 エリア,25.永平寺門前 エリア,永平寺町,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"地元の美味しいものを食べる
ドライブ・ツーリング
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"1,000円以上 3,000円未満","1,000円未満","1,000円以上 3,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,福井グリーンセンター,"1,000円以上 3,000円未満",4,駐車場が分かりにくく、戸惑いました。GWでどこも満車だったこともあると思いますが。,感じなかった,,8,,,また行きたい（1年以内）,,blue
690,102414,東尋坊 エリア,2,1970,52,50代,大阪府,門真市,"1,200万円以上 1,500万円未満",mobile/iphone,2022-05-04 19:44:56,5月,東尋坊 エリア,06.東尋坊 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,1泊,福井県内には宿泊しない,福井県内には宿泊しない,石川県加賀市,中学生以上連れの家族,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"30,000円以上 40,000円未満","3,000円以上 5,000円未満","20,000円以上 30,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"20,000円以上 30,000円未満",3,,感じた,"場所が分かりにくく、飲食店が、奥の方にもあるとは知らずに、手前の店で済ましてしまったので、

案内板を増やして欲しい。",4,,,機会があれば行きたい,"新鮮な物をお土産に買いたかったが、
選択肢が思っていたより、少ないのが残念だった。",yellow
693,102405,うるしの里 エリア,2,1963,59,50代,千葉県,松戸市,"1,200万円以上 1,500万円未満",mobile/iphone,2022-05-04 19:15:27,5月,うるしの里 エリア,34.うるしの里 エリア,鯖江市,丹南,,3泊,3泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"温泉や露天風呂
地元の美味しいものを食べる
買い物、アウトレット
お祭りやイベントへの参加・見物
まちあるき、都市散策
各種体験（手作り、果物狩りなど）
",0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,"観光展・物産展
新聞・雑誌・ガイドブック
観光パンフレット・ポスター
観光連盟やDMOのHP
",1,1,0,1,1,0,0,0,0,0,0,0,0,0,"レンタカー
飛行機
",0,1,0,0,1,0,0,"レンタカー
",0,0,0,0,とても満足,渋滞に巻き込まれることなく、移動出来る。,"10,000円以上 20,000円未満","50,000円以上 100,000円未満","50,000円以上 100,000円未満",11回目以上,越前和紙の里,,あわら温泉街,,"30,000円以上 40,000円未満",5,今回はお買い物チケットもあったので、一層買い物が楽しかった。良い品がお手頃に購入出来、満足！また、福井全体的に言えるのは、食べ物も工芸品もレベルが高い。毎回来る事を楽しみにしている。,感じなかった,,10,レベルの高い品がお手頃に購入出来ること。海山含めて色々な過ごし方や楽しみ方が選択出来ること。移動がスムーズであること。,うるしの里会館のランチはいつも美味しく頂いている。山ウニ最高。,また行きたい（1年以内）,福井に行くと、いつも楽しい思い出が出来る。コロナで行けない間は辛かった。,blue
694,102174,道の駅「越前おおの荒島の郷」 エリア,1,1966,56,50代,兵庫県,神戸市東灘区,600万円以上 700万円未満,mobile/android,2022-05-04 19:14:18,5月,道の駅「南えちぜん山海里」 エリア,43.道の駅「南えちぜん山海里」 エリア,南越前町,丹南,,2泊,1泊,奥越前エリア（勝山市・大野市）,福井県外には宿泊しない,夫婦2人,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,ごはんを食べるのに楽しいと感じる,"1,000円以上 3,000円未満","10,000円以上 20,000円未満","1,000円以上 3,000円未満",初めて,道の駅「南えちぜん山海里」,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",5,,感じた,,10,,,機会があれば行きたい,,blue
697,100876,web,無回答,1966,56,50代,福井県,福井市,"1,000万円以上 1,200万円未満",mobile/android,2022-05-04 19:09:33,5月,一乗谷朝倉氏遺跡 エリア,01.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,中学生以上連れの家族,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
TV・ラジオ番組やCM
",0,1,1,0,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,使わない,"3,000円以上 5,000円未満",2～5回目,うるしの里,,選択なし/該当施設なし,,"1,000円未満",3,,感じなかった,,5,,だんごがおいしそう。,福井県在住,,yellow
